"Household energy consumption, Canada and provinces 1"
"Frequency: Every 2 years"
"Table: 25-10-0060-01 (formerly CANSIM 153-0161)"
"Release date: 2024-03-19"
"Geography: Canada, Province or territory"
""
""

"Geography","Energy type","Energy consumption","2011","2013","2015","2017","2019","2021"
"Canada","Total, all energy types","Gigajoules","1,268,619,866","1,360,529,905","1,310,965,586","..","1,353,727,238","1,275,937,165"
,,"Gigajoules per household","93.3","97.5","92.5","..","90.5","85.4"
,,"Proportion of total energy","..","..","..","..","..",".."
,,"Number of households 2","13,599,121","13,955,593","14,173,807","..","14,954,936","14,936,620"
,"Electricity","Gigajoules","566,644,393","607,027,303","592,624,370","..","593,817,177","583,999,217"
,,"Gigajoules per household","41.7","43.5","41.8","..","39.7","39.1"
,,"Proportion of total energy","44.7","44.6","45.2","..","43.9","45.8"
,,"Number of households 2","13,599,121","13,955,593","14,173,807","..","14,954,936","14,936,620"
,"Natural gas","Gigajoules","639,202,962","687,813,463","668,372,295","..","723,344,231","656,986,991"
,,"Gigajoules per household","92.1","94.8","88.4","..","91.6","84.9"
,,"Proportion of total energy","50.4","50.6","51.0","..","53.4","51.5"
,,"Number of households 2","6,936,659","7,256,255","7,561,305","..","7,894,803","7,742,110"
,"Heating oil","Gigajoules","62,772,511","65,689,139","49,968,922","..","36,565,831","34,950,957"
,,"Gigajoules per household","61.7","71.9","64.4","..","49.7","60.1"
,,"Proportion of total energy","4.9","4.8","3.8","..","2.7","2.7"
,,"Number of households 2","1,016,872","913,782","775,380","..","735,600","581,423"
"Newfoundland and Labrador","Total, all energy types","Gigajoules","18,814,343","18,540,233","18,065,134","..","15,615,351","15,380,131"
,,"Gigajoules per household","87.9","85.0","82.7","..","71.6","68.9"
,,"Proportion of total energy","..","..","..","..","..",".."
,,"Number of households 2","214,157","218,033","218,474","..","218,065","223,250"
,"Electricity","Gigajoules","15,127,845","14,287,293","14,050,319","..","13,181,468","12,195,130"
,,"Gigajoules per household","70.6","65.5","64.3","..","60.4","54.6"
,,"Proportion of total energy","80.4","77.1","77.8","..","84.4","79.3"
,,"Number of households 2","214,157","218,033","218,474","..","218,065","223,250"
,"Natural gas","Gigajoules","F","F","F","..","F","F"
,,"Gigajoules per household","F","F","F","..","F","F"
,,"Proportion of total energy","F","F","F","..","F","F"
,,"Number of households 2","F","F","F","..","F","F"
